N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_null,Kennedy_optML,p_null,beta_star,p_star,GG_alpha,GG_beta,GG_K,Kennedy_null_GG,p_null_GG,Kennedy_optML_GG,beta_star_GG,p_star_GG
1e-06,0.999998000002,2.1374242957285254e-05,2.8853862346078785e-06,2.1229497875524204e-06,2.8391387395243495e-06,0.6321203611593419,0.11648464308482165,0.45316808600321923,4.0,2.0,256.0,1.572765196428672e-06,0.6136844203906398,2.4337893110036644e-06,0.11691468462264776,0.45305644131167633
0.010051246231155778,0.9800982154793465,0.08046740717622028,0.028616203242099347,0.021180626847125628,0.02700392754484343,0.6301706141774412,-0.28833743139771095,0.4504584607046307,4.0,2.0,256.0,0.015676280113051357,0.611588197517824,0.022823278275989206,-0.30150416137698277,0.4488683363063735
0.02010149246231156,0.9605944331727447,0.13976849062233715,0.056470851656880816,0.042044356085734674,0.052421672136438974,0.6282295346987485,-0.31346686958873293,0.43718839340535603,4.0,2.0,256.0,0.031087705729564423,0.609505702847741,0.04394160314792374,-0.3469111382213707,0.4403103799567
0.030151738693467336,0.941478772707664,0.19067021102364148,0.08358499364199301,0.06259416659465128,0.0767076577692378,0.6262975433786638,-0.34835395609822173,0.4337024260954355,4.0,2.0,256.0,0.046236892134853026,0.6074375865914968,0.0639117851660003,-0.38658799590660303,0.4384912333166946
0.04020198492462312,0.9227435105276425,0.23596700046513572,0.10997641160380867,0.08283100903940838,0.10009744896988315,0.624375053132171,-0.37570387629568497,0.43170201355404053,4.0,2.0,256.0,0.06112500587098681,0.6053844694164295,0.08294358779366087,-0.41814847713959696,0.43796763529352817
0.0502522311557789,0.9043810767736348,0.2770178072664296,0.1356625142382587,0.10275592809878137,0.12270690458513524,0.6224624719920806,-0.39855294486194986,0.43048467758176184,4.0,2.0,256.0,0.07575333533176222,0.6033469412699046,0.10115178140549438,-0.44541318464369456,0.4382861167259006
0.06030247738693467,0.886384052225461,0.3146412288514734,0.1606603433031384,0.12237006163106412,0.14461460314052582,0.6205602027223271,-0.4183829269842382,0.42976602280777815,4.0,2.0,256.0,0.09012328823134308,0.6013255604142344,0.11861057055477342,-0.46917949235595824,0.43901138274723545
0.07035272361809046,0.8687451653041194,0.3493899621339421,0.18498658027112946,0.14167463973139116,0.16587861088463043,0.618668642437735,-0.4360288122182582,0.42938984636617467,4.0,2.0,256.0,0.10423638873151661,0.5993208526759027,0.13538366661080115,-0.4904139696901753,0.4399990204417556
0.08040296984924623,0.8514572891337527,0.38166504161000114,0.2086575528664587,0.16067098368191673,0.18654426798290935,0.6167881822310595,-0.45201249016223904,0.42926151370522975,4.0,2.0,256.0,0.11809427424982966,0.5973333109062925,0.15152076464784497,-0.5093185074194373,0.4410849293090337
0.09045321608040201,0.8345134386620814,0.41177230865206516,0.23168924148803827,0.1793605047968766,0.20664837480585346,0.6149192068080069,-0.4666840090820245,0.42931939829440474,4.0,2.0,256.0,0.13169869197301262,0.5953633946484009,0.16706333947266225,-0.5270699360413228,0.44237139277469323
